radius,threshold,frequency
0.45,0.0363,0.0363
0.75,0.0514,0.0151
1.5,0.0937,0.0423
2.5,0.2146,0.1209
3.5,0.3960,0.1814
4.5,0.6379,0.2418
7.5,0.7286,0.0907
12.5,0.8041,0.0756
17.5,0.8495,0.0453
22.5,0.8797,0.0302
35,0.9522,0.0726
47.5,0.9704,0.0181
75,0.9855,0.0151
125,0.9885,0.0030
250,0.9982,0.0097
425,1.0000,0.0018
