x,y,z,lx,ly,lz
0.04535512,0.31141297,1.35597529,0.00237184,0.00194194,0.00209058
0.05647676,0.33938089000000005,1.3635081055,0.00161732,0.00137398,0.000996211
0.06432929,0.33586939000000005,1.363330485,0.00217958,0.00207898,0.00177097
0.0611756199999999,0.309067615,1.3485222250000002,0.00228164,0.00131963,0.00147645
0.0673436,0.3232030549999999,1.344656045,0.0016656,0.00193571,0.00100609
0.0475916449999999,0.27913512499999993,1.33831081,0.00277129,0.00142585,0.00200962
0.056430385,0.28110375,1.330818895,0.00224177,0.0010711,0.00183579
0.06887891,0.30276662499999996,1.3334645450000002,0.00126762,0.00195465,0.00145109
0.066134225,0.30642025500000003,1.3213031400000002,0.00138225,0.00234551,0.00231628
0.05852947,0.2850986215,1.31432714,0.00244594,0.000700243,0.00231628
0.05929151,0.29185481999999996,1.3055842750000002,0.00218562,0.00206444,0.00196655
0.050879225,0.35390321999999996,1.335150682,0.00151365,0.00124564,0.000761364
0.05962082,0.35048336999999996,1.329891035,0.00115924,0.00162934,0.00113007
0.046638555,0.355240385,1.3189203550000002,0.00270251,0.00150497,0.00309871
0.07098593,0.331474335,1.31329324,0.00165046,0.00183547,0.00144048
0.074712535,0.31755718499999996,1.298230845,0.00273207,0.00197697,0.00273369
0.0489237349999999,0.326525155,1.2905524229999998,0.00271927,0.00228851,0.000934846
0.07668315,0.339162465,1.28775455,0.0025275,0.00263133,0.0018771
0.072271435,0.3424618049999999,1.303327705,0.00102747,0.00246741,0.00214941
0.065219495,0.3577619799999999,1.300438395,0.00213159,0.00159016,0.00195479
0.068891835,0.35408185000000003,1.2840324065000002,0.00180087,0.0020675,0.000870813
0.0573222299999999,0.35211343500000003,1.27718498,0.00395666,0.00278267,0.00125396
0.058214535,0.361671176,1.279408385,0.00154447,0.000909552,0.00113677
-0.03662386,0.34298621500000004,1.3675515150000002,0.00205988,0.00168823,0.00106903
-0.028855225,0.35042716000000007,1.368039425,0.00168495,0.00195432,0.00135485
-0.0360451399999999,0.35391325500000004,1.36193768,0.00195412,0.00261891,0.00166536
-0.024824755,0.36617115499999997,1.36307286,0.00219149,0.00184071,0.00121372
-0.03258092,0.37055303500000003,1.353823065,0.00269236,0.00163047,0.00255013
-0.05106205,0.3593891,1.34386731,0.0019043,0.0018734,0.00200062
-0.051665855,0.35140222,1.336439265,0.00148009,0.00250004,0.00135253
-0.055091745,0.3336639349999999,1.351853365,0.00123291,0.00208287,0.00106073
-0.056119435,0.330969215,1.34231252,0.00152513,0.00291803,0.00211904
-0.04488997,0.3152573249999999,1.35226379,0.00271206,0.00168905,0.00158758
-0.05131329,0.30881908,1.341968625,0.00238922,0.00138356,0.00161525
-0.0491477649999999,0.303080177,1.31242618,0.00190347,0.000517954,0.00206836
-0.05923785,0.30957970999999995,1.31016418,0.0015331,0.00221762,0.00206836
-0.0553319399999999,0.33034539000000007,1.30748318,0.00043012,0.00269398,0.00206836
-0.05096375,0.316668195,1.30099481,0.0020839,0.00115459,0.00223762
-0.01606881,0.3606168999999999,1.3224981850000002,0.00238922,0.001526,0.00152037
-0.0276514,0.374510829,1.3147727500000002,0.0026978,0.000976058,0.0028155
-0.03720282,0.3723246149999999,1.309261305,0.00158936,0.00103963,0.00170061
-0.0172898849999999,0.36410953999999995,1.30460907,0.00140493,0.00151148,0.00145414
-0.030725045,0.33508293049999993,1.29612801,0.00179271,0.000275061,0.00185602
-0.033542205,0.33786264499999996,1.29070774,0.00156339,0.00178069,0.00149748
-0.02372254,0.34334751499999994,1.28721651,0.00241412,0.00245323,0.00116502
-0.059870835,0.35276882,1.291036555,0.00146913,0.00261384,0.00298311
-0.057182065,0.36453060000000004,1.297759545,0.00160307,0.0017096,0.00188309
-0.052422025,0.38139676,1.2881509999999998,0.00221575,0.00135992,0.001908
-0.058722025,0.36888827999999996,1.278073965,0.00207175,0.00242696,0.00203593
-0.03090306,0.378619935,1.28897707,0.00186988,0.00117027,0.00136614
-0.0269507749999999,0.37073382,1.26468835,0.00302365,0.00340204,0.0016667
-0.041498745,0.38540940999999995,1.26899557,0.00255111,0.00170922,0.00173114
-0.047501215,0.3766629749999999,1.267012355,0.00155757,0.00219435,0.00158071
