radius,threshold,frequency
0.45,0.0386,0.0386
0.75,0.06344,0.02484
1.5,0.1517,0.08826
2.5,0.2676,0.1159
3.5,0.46626,0.19866
4.5,0.7257,0.25944
6.25,0.7293,0.0036
8.75,0.7409,0.0116
11.25,0.75825,0.01735
13.75,0.8111,0.05285
31.25,0.8655,0.0544
43.75,0.89678,0.03128
56.25,0.91795,0.02117
68.75,0.93647,0.01852
87.5,0.95966,0.02319
112.5,0.97479,0.01513
187.5,0.9943,0.01951
375,0.9991,0.0048
750,1,0.0009
